project_id,approved_cost,expenditure,physical_progress,financial_progress,start_date,planned_end_date,cost_overrun,time_overrun
SYN-000,335000000.0,<function <lambda> at 0x0000026E2397C860>,0.7697791251570459,0.8785776156002648,2024-01-01,2026-01-01,0,0
SYN-001,171000000.0,<function <lambda> at 0x0000026E2397C860>,0.4581569489694086,0.5168020502696298,2024-01-01,2026-01-01,0,1
SYN-002,407000000.0,<function <lambda> at 0x0000026E2397C860>,0.8484960655175857,0.9799447706460435,2024-01-01,2026-01-01,0,0
SYN-003,213000000.0,<function <lambda> at 0x0000026E2397C860>,0.6985522670252085,1.0136325805324369,2024-01-01,2026-01-01,1,1
SYN-004,289000000.0,<function <lambda> at 0x0000026E2397C860>,0.13758493353551404,0.2570737837810082,2024-01-01,2026-01-01,0,1
SYN-005,191000000.0,<function <lambda> at 0x0000026E2397C860>,0.957328787022183,0.9633618854721103,2024-01-01,2026-01-01,0,0
SYN-006,190000000.0,<function <lambda> at 0x0000026E2397C860>,0.7578599228510282,1.0369918906618083,2024-01-01,2026-01-01,1,1
SYN-007,120000000.0,<function <lambda> at 0x0000026E2397C860>,0.781039803907567,0.9382159628306574,2024-01-01,2026-01-01,1,0
SYN-008,482000000.0,<function <lambda> at 0x0000026E2397C860>,0.16914567838825767,0.5255817569475363,2024-01-01,2026-01-01,1,1
SYN-009,116000000.0,<function <lambda> at 0x0000026E2397C860>,0.4688589222428774,0.5818411209428205,2024-01-01,2026-01-01,0,1
SYN-010,88000000.0,<function <lambda> at 0x0000026E2397C860>,0.3948421625363005,0.25443773682661047,2024-01-01,2026-01-01,0,1
SYN-011,471000000.0,<function <lambda> at 0x0000026E2397C860>,0.9118914396291997,0.74562278376498,2024-01-01,2026-01-01,0,0
SYN-012,299000000.0,<function <lambda> at 0x0000026E2397C860>,0.648794561675018,1.025961589476643,2024-01-01,2026-01-01,1,1
SYN-013,247000000.0,<function <lambda> at 0x0000026E2397C860>,0.8151683003418718,1.2054281300828653,2024-01-01,2026-01-01,1,1
SYN-014,381000000.0,<function <lambda> at 0x0000026E2397C860>,0.4623752049094179,0.5100617465185497,2024-01-01,2026-01-01,0,1
SYN-015,222000000.0,<function <lambda> at 0x0000026E2397C860>,0.2613320112598425,0.2723582934553647,2024-01-01,2026-01-01,0,1
SYN-016,107000000.0,<function <lambda> at 0x0000026E2397C860>,0.5657638519247263,0.9088238245283227,2024-01-01,2026-01-01,1,1
SYN-017,378000000.0,<function <lambda> at 0x0000026E2397C860>,0.10935004817688304,0.0,2024-01-01,2026-01-01,0,1
SYN-018,129000000.0,<function <lambda> at 0x0000026E2397C860>,0.8196969899531014,0.7386461265410527,2024-01-01,2026-01-01,0,0
SYN-019,298000000.0,<function <lambda> at 0x0000026E2397C860>,0.6374478911835203,0.8332467142275483,2024-01-01,2026-01-01,1,0
SYN-020,477000000.0,<function <lambda> at 0x0000026E2397C860>,0.7550215982793976,0.7639926761646715,2024-01-01,2026-01-01,0,0
SYN-021,471000000.0,<function <lambda> at 0x0000026E2397C860>,0.37970915036077757,0.45878721435116476,2024-01-01,2026-01-01,0,1
SYN-022,212000000.0,<function <lambda> at 0x0000026E2397C860>,0.9527491626872601,1.0033294409528477,2024-01-01,2026-01-01,0,0
SYN-023,401000000.0,<function <lambda> at 0x0000026E2397C860>,0.8806026428296438,1.021366061613452,2024-01-01,2026-01-01,1,0
SYN-024,325000000.0,<function <lambda> at 0x0000026E2397C860>,0.7738966522785985,1.1072433873150676,2024-01-01,2026-01-01,1,1
SYN-025,265000000.0,<function <lambda> at 0x0000026E2397C860>,0.23101399830232983,0.327319281544644,2024-01-01,2026-01-01,0,1
SYN-026,112000000.0,<function <lambda> at 0x0000026E2397C860>,0.48405053346614174,0.6799595162559762,2024-01-01,2026-01-01,1,1
SYN-027,219000000.0,<function <lambda> at 0x0000026E2397C860>,0.09073750218212276,0.0,2024-01-01,2026-01-01,0,1
SYN-028,343000000.0,<function <lambda> at 0x0000026E2397C860>,0.19348922762281945,0.26471991527539823,2024-01-01,2026-01-01,0,1
SYN-029,493000000.0,<function <lambda> at 0x0000026E2397C860>,0.6852355265154828,0.6134540778627661,2024-01-01,2026-01-01,0,0
SYN-030,52000000.0,<function <lambda> at 0x0000026E2397C860>,0.74262880499427,0.6032424541180169,2024-01-01,2026-01-01,0,0
SYN-031,372000000.0,<function <lambda> at 0x0000026E2397C860>,0.9497840511638153,0.8717166251166402,2024-01-01,2026-01-01,0,0
SYN-032,430000000.0,<function <lambda> at 0x0000026E2397C860>,0.3530175830684813,0.37287536374233515,2024-01-01,2026-01-01,0,1
SYN-033,478000000.0,<function <lambda> at 0x0000026E2397C860>,0.394527526612428,0.6393899842365104,2024-01-01,2026-01-01,1,1
SYN-034,240000000.0,<function <lambda> at 0x0000026E2397C860>,0.4866869044865013,0.3279362152933798,2024-01-01,2026-01-01,0,1
SYN-035,103000000.0,<function <lambda> at 0x0000026E2397C860>,0.22620836394838567,0.3117220326153808,2024-01-01,2026-01-01,0,1
SYN-036,171000000.0,<function <lambda> at 0x0000026E2397C860>,0.17082699996198863,0.1636765019619445,2024-01-01,2026-01-01,0,1
SYN-037,432000000.0,<function <lambda> at 0x0000026E2397C860>,0.49240558139011836,0.5134244244049654,2024-01-01,2026-01-01,0,1
SYN-038,445000000.0,<function <lambda> at 0x0000026E2397C860>,0.2610256946173222,0.521522103172151,2024-01-01,2026-01-01,1,1
SYN-039,336000000.0,<function <lambda> at 0x0000026E2397C860>,0.6729270150547346,0.8497877937154413,2024-01-01,2026-01-01,1,0
SYN-040,105000000.0,<function <lambda> at 0x0000026E2397C860>,0.45655128455126753,0.7772829438909614,2024-01-01,2026-01-01,1,1
SYN-041,104000000.0,<function <lambda> at 0x0000026E2397C860>,0.8243907223337889,0.8765797000688068,2024-01-01,2026-01-01,0,0
SYN-042,265000000.0,<function <lambda> at 0x0000026E2397C860>,0.7012465448620917,0.6559768747613651,2024-01-01,2026-01-01,0,0
SYN-043,314000000.0,<function <lambda> at 0x0000026E2397C860>,0.34050097648529815,0.38020638944680824,2024-01-01,2026-01-01,0,1
SYN-044,64000000.0,<function <lambda> at 0x0000026E2397C860>,0.824001615297537,0.947651037726357,2024-01-01,2026-01-01,0,0
SYN-045,358000000.0,<function <lambda> at 0x0000026E2397C860>,0.7984308524720257,0.9102140569936937,2024-01-01,2026-01-01,0,0
SYN-046,295000000.0,<function <lambda> at 0x0000026E2397C860>,0.41035489249806223,0.29516503949605627,2024-01-01,2026-01-01,0,1
SYN-047,55000000.0,<function <lambda> at 0x0000026E2397C860>,0.318145136655127,0.4144332973481444,2024-01-01,2026-01-01,0,1
SYN-048,93000000.0,<function <lambda> at 0x0000026E2397C860>,0.6847208186967272,0.8058019181217301,2024-01-01,2026-01-01,0,0
SYN-049,254000000.0,<function <lambda> at 0x0000026E2397C860>,0.1799698097566581,0.7131151365127637,2024-01-01,2026-01-01,1,1
SYN-050,375000000.0,<function <lambda> at 0x0000026E2397C860>,0.23591462830185073,0.6537466583325513,2024-01-01,2026-01-01,1,1
SYN-051,421000000.0,<function <lambda> at 0x0000026E2397C860>,0.05684691086843513,0.0,2024-01-01,2026-01-01,0,1
SYN-052,244000000.0,<function <lambda> at 0x0000026E2397C860>,0.7818396710769887,0.810110665998137,2024-01-01,2026-01-01,0,0
SYN-053,182000000.0,<function <lambda> at 0x0000026E2397C860>,0.6683112966305899,0.4848917362999293,2024-01-01,2026-01-01,0,0
SYN-054,485000000.0,<function <lambda> at 0x0000026E2397C860>,0.7058038021224916,0.6794765396090641,2024-01-01,2026-01-01,0,0
SYN-055,256000000.0,<function <lambda> at 0x0000026E2397C860>,0.7760779988504302,0.9128868994966914,2024-01-01,2026-01-01,0,0
SYN-056,191000000.0,<function <lambda> at 0x0000026E2397C860>,0.47679167125065613,0.7738453230105382,2024-01-01,2026-01-01,1,1
SYN-057,249000000.0,<function <lambda> at 0x0000026E2397C860>,0.5789293122361912,0.5276942214423416,2024-01-01,2026-01-01,0,0
SYN-058,55000000.0,<function <lambda> at 0x0000026E2397C860>,0.1800112082587214,0.14226484904651804,2024-01-01,2026-01-01,0,1
SYN-059,185000000.0,<function <lambda> at 0x0000026E2397C860>,0.1565129683884553,0.0,2024-01-01,2026-01-01,0,1
SYN-060,281000000.0,<function <lambda> at 0x0000026E2397C860>,0.6716147544651386,0.7223348887670552,2024-01-01,2026-01-01,0,0
SYN-061,463000000.0,<function <lambda> at 0x0000026E2397C860>,0.4881194717131132,0.37688487757839184,2024-01-01,2026-01-01,0,1
SYN-062,382000000.0,<function <lambda> at 0x0000026E2397C860>,0.5756695790275056,0.5603704821016123,2024-01-01,2026-01-01,0,0
SYN-063,401000000.0,<function <lambda> at 0x0000026E2397C860>,0.7614489373969038,0.6836139973267379,2024-01-01,2026-01-01,0,0
SYN-064,295000000.0,<function <lambda> at 0x0000026E2397C860>,0.6402880376005494,0.7033207778350892,2024-01-01,2026-01-01,0,0
SYN-065,99000000.0,<function <lambda> at 0x0000026E2397C860>,0.5648288426119361,0.3284377321677425,2024-01-01,2026-01-01,0,0
SYN-066,225000000.0,<function <lambda> at 0x0000026E2397C860>,0.5700626594932346,0.3859945153228564,2024-01-01,2026-01-01,0,0
SYN-067,498000000.0,<function <lambda> at 0x0000026E2397C860>,0.3326735911982293,0.795938071363323,2024-01-01,2026-01-01,1,1
SYN-068,69000000.0,<function <lambda> at 0x0000026E2397C860>,0.07866058614818365,0.0,2024-01-01,2026-01-01,0,1
SYN-069,445000000.0,<function <lambda> at 0x0000026E2397C860>,0.45614717198609694,0.33872576786426184,2024-01-01,2026-01-01,0,1
SYN-070,358000000.0,<function <lambda> at 0x0000026E2397C860>,0.24956374572216217,0.6602081808199987,2024-01-01,2026-01-01,1,1
SYN-071,177000000.0,<function <lambda> at 0x0000026E2397C860>,0.4299316386639116,1.0328437291271848,2024-01-01,2026-01-01,1,1
SYN-072,400000000.0,<function <lambda> at 0x0000026E2397C860>,0.8436648581393945,0.712782864950833,2024-01-01,2026-01-01,0,0
SYN-073,426000000.0,<function <lambda> at 0x0000026E2397C860>,0.2675637218547669,0.2812789096329214,2024-01-01,2026-01-01,0,1
SYN-074,69000000.0,<function <lambda> at 0x0000026E2397C860>,0.1042215497708314,0.2457015489401231,2024-01-01,2026-01-01,1,1
SYN-075,97000000.0,<function <lambda> at 0x0000026E2397C860>,0.31168701958045675,0.7028525955734634,2024-01-01,2026-01-01,1,1
SYN-076,349000000.0,<function <lambda> at 0x0000026E2397C860>,0.3230421947230157,0.22540792060593295,2024-01-01,2026-01-01,0,1
SYN-077,499000000.0,<function <lambda> at 0x0000026E2397C860>,0.6655823586960125,0.7014323464264327,2024-01-01,2026-01-01,0,0
SYN-078,60000000.0,<function <lambda> at 0x0000026E2397C860>,0.5680399016773888,0.7879606653685027,2024-01-01,2026-01-01,1,0
SYN-079,349000000.0,<function <lambda> at 0x0000026E2397C860>,0.7790253344689646,0.9372832278729559,2024-01-01,2026-01-01,1,0
SYN-080,111000000.0,<function <lambda> at 0x0000026E2397C860>,0.6678115925044704,0.6801034996830526,2024-01-01,2026-01-01,0,0
SYN-081,342000000.0,<function <lambda> at 0x0000026E2397C860>,0.42793978113926556,0.48385164752637816,2024-01-01,2026-01-01,0,1
SYN-082,330000000.0,<function <lambda> at 0x0000026E2397C860>,0.8070389577394123,0.6395577122328155,2024-01-01,2026-01-01,0,0
SYN-083,90000000.0,<function <lambda> at 0x0000026E2397C860>,0.2052848155141646,0.24241354159872486,2024-01-01,2026-01-01,0,1
SYN-084,356000000.0,<function <lambda> at 0x0000026E2397C860>,0.07112222801449025,0.10317247981287833,2024-01-01,2026-01-01,0,1
SYN-085,453000000.0,<function <lambda> at 0x0000026E2397C860>,0.13374451052134684,0.25553509065407287,2024-01-01,2026-01-01,0,1
SYN-086,438000000.0,<function <lambda> at 0x0000026E2397C860>,0.7217941960546987,0.7018352966672758,2024-01-01,2026-01-01,0,0
SYN-087,63000000.0,<function <lambda> at 0x0000026E2397C860>,0.4795458241337902,0.6444227581919153,2024-01-01,2026-01-01,1,1
SYN-088,160000000.0,<function <lambda> at 0x0000026E2397C860>,0.19998275450124964,0.46227160170881876,2024-01-01,2026-01-01,1,1
SYN-089,158000000.0,<function <lambda> at 0x0000026E2397C860>,0.5159716408461281,0.6239489198264521,2024-01-01,2026-01-01,0,1
SYN-090,253000000.0,<function <lambda> at 0x0000026E2397C860>,0.1916502555232466,0.3349664090351032,2024-01-01,2026-01-01,1,1
SYN-091,114000000.0,<function <lambda> at 0x0000026E2397C860>,0.6975779488222945,0.7871459113863106,2024-01-01,2026-01-01,0,0
SYN-092,434000000.0,<function <lambda> at 0x0000026E2397C860>,0.4649253362838485,0.544940527040303,2024-01-01,2026-01-01,0,1
SYN-093,399000000.0,<function <lambda> at 0x0000026E2397C860>,0.4043497402697287,0.3544692942320162,2024-01-01,2026-01-01,0,1
SYN-094,413000000.0,<function <lambda> at 0x0000026E2397C860>,0.3304062429075251,0.46737521000872057,2024-01-01,2026-01-01,0,1
SYN-095,139000000.0,<function <lambda> at 0x0000026E2397C860>,0.6361628116005663,0.6986512238861382,2024-01-01,2026-01-01,0,0
SYN-096,56000000.0,<function <lambda> at 0x0000026E2397C860>,0.38648572781465307,0.8432560234221602,2024-01-01,2026-01-01,1,1
SYN-097,459000000.0,<function <lambda> at 0x0000026E2397C860>,0.13151442496397392,0.49471830740951755,2024-01-01,2026-01-01,1,1
SYN-098,180000000.0,<function <lambda> at 0x0000026E2397C860>,0.15974548897207924,0.3091978684322494,2024-01-01,2026-01-01,1,1
SYN-099,345000000.0,<function <lambda> at 0x0000026E2397C860>,0.9445648280310485,0.8872145302859903,2024-01-01,2026-01-01,0,0
SYN-100,459000000.0,<function <lambda> at 0x0000026E2397C860>,0.8949800423580746,0.7747459774010593,2024-01-01,2026-01-01,0,0
SYN-101,66000000.0,<function <lambda> at 0x0000026E2397C860>,0.7007276344439971,0.9951333659999928,2024-01-01,2026-01-01,1,1
SYN-102,52000000.0,<function <lambda> at 0x0000026E2397C860>,0.2972590641573532,0.4245539246838381,2024-01-01,2026-01-01,0,1
SYN-103,52000000.0,<function <lambda> at 0x0000026E2397C860>,0.9513340309333832,1.1177598435438731,2024-01-01,2026-01-01,1,0
SYN-104,120000000.0,<function <lambda> at 0x0000026E2397C860>,0.774238340688189,0.5402128630328343,2024-01-01,2026-01-01,0,0
SYN-105,73000000.0,<function <lambda> at 0x0000026E2397C860>,0.7167078759178659,0.9636468025983385,2024-01-01,2026-01-01,1,1
SYN-106,418000000.0,<function <lambda> at 0x0000026E2397C860>,0.46790619699372343,0.6297018578723088,2024-01-01,2026-01-01,1,1
SYN-107,322000000.0,<function <lambda> at 0x0000026E2397C860>,0.30318465251599785,0.18330712932139182,2024-01-01,2026-01-01,0,1
SYN-108,491000000.0,<function <lambda> at 0x0000026E2397C860>,0.13964359480275434,0.13476912946176353,2024-01-01,2026-01-01,0,1
SYN-109,410000000.0,<function <lambda> at 0x0000026E2397C860>,0.8894202287857728,1.0168893255699463,2024-01-01,2026-01-01,0,0
SYN-110,483000000.0,<function <lambda> at 0x0000026E2397C860>,0.47387194954525824,0.5633159732493821,2024-01-01,2026-01-01,0,1
SYN-111,157000000.0,<function <lambda> at 0x0000026E2397C860>,0.23819792925956418,0.2656071158149243,2024-01-01,2026-01-01,0,1
SYN-112,179000000.0,<function <lambda> at 0x0000026E2397C860>,0.3345396604601068,0.39591177220823387,2024-01-01,2026-01-01,0,1
SYN-113,432000000.0,<function <lambda> at 0x0000026E2397C860>,0.5886741991159633,0.623318271038724,2024-01-01,2026-01-01,0,0
SYN-114,160000000.0,<function <lambda> at 0x0000026E2397C860>,0.2143986881334855,0.3218599403119299,2024-01-01,2026-01-01,0,1
SYN-115,75000000.0,<function <lambda> at 0x0000026E2397C860>,0.8466512842059092,1.1915198393446775,2024-01-01,2026-01-01,1,1
SYN-116,351000000.0,<function <lambda> at 0x0000026E2397C860>,0.7554231627467454,0.37342464337911185,2024-01-01,2026-01-01,0,0
SYN-117,410000000.0,<function <lambda> at 0x0000026E2397C860>,0.7191005490343713,0.7564675014226281,2024-01-01,2026-01-01,0,0
SYN-118,485000000.0,<function <lambda> at 0x0000026E2397C860>,0.45184652699084643,0.5636187628378869,2024-01-01,2026-01-01,0,1
